Ano,WoS,WoS OA,Scopus,Scopus OA,SciELO,Total
2000,51,4.0,40.0,6.0,0.0,101
2001,43,9.0,36.0,3.0,0.0,91
2002,72,7.0,56.0,4.0,0.0,139
2003,58,5.0,60.0,7.0,0.0,130
2004,57,8.0,54.0,7.0,0.0,126
2005,69,8.0,69.0,10.0,0.0,156
2006,70,6.0,85.0,9.0,0.0,170
2007,96,13.0,121.0,19.0,0.0,249
2008,139,32.0,160.0,31.0,87.0,449
2009,167,59.0,213.0,41.0,98.0,578
2010,217,95.0,221.0,79.0,129.0,741
2011,241,124.0,269.0,163.0,156.0,953
2012,258,122.0,290.0,170.0,153.0,993
2013,309,150.0,309.0,169.0,129.0,1066
2014,341,171.0,374.0,204.0,155.0,1245
2015,411,195.0,439.0,254.0,155.0,1454
2016,407,219.0,485.0,297.0,148.0,1556
2017,459,208.0,525.0,303.0,124.0,1619
2018,448,282.0,572.0,328.0,151.0,1781
2019,552,334.0,666.0,377.0,146.0,2075
2020,672,402.0,771.0,505.0,182.0,1860
2021,747,486.0,887.0,595.0,155.0,2870
2022,616,477.0,853.0,597.0,117.0,2660
